Cliente,Tipo de Cliente,Itens,Vendas líquidas,Método de Pagamento,Gênero,Estado Civil,Idade
79,Promocional,3,"86,8",Cartão Proprietário,Feminino,Casado,38
80,Regular,2,89,Discover,Feminino,Casado,54
81,Promocional,2,78,MasterCard,Feminino,Casado,68
82,Promocional,6,"53,2",Cartão Proprietário,Feminino,Solteiro,30
83,Promocional,4,"58,5",Visa,Feminino,Casado,36
84,Promocional,3,46,Cartão Proprietário,Feminino,Casado,44
85,Regular,2,"37,5",Visa,Feminino,Casado,44
86,Promocional,1,"20,8",Cartão Proprietário,Feminino,Casado,62
87,Regular,6,144,MasterCard,Feminino,Solteiro,48
88,Regular,4,107,Cartão Proprietário,Feminino,Casado,36
89,Promocional,1,"31,6",Cartão Proprietário,Feminino,Solteiro,20
90,Promocional,6,"57,6",Cartão Proprietário,Feminino,Casado,42
91,Promocional,4,"95,2",Cartão Proprietário,Feminino,Casado,54
92,Promocional,1,"22,42",Cartão Proprietário,Feminino,Casado,54
93,Regular,5,"159,75",Cartão Proprietário,Feminino,Casado,72
94,Promocional,17,"229,5",Cartão Proprietário,Feminino,Casado,30
95,Regular,3,66,American Express,Feminino,Casado,46
96,Regular,1,"39,5",MasterCard,Feminino,Casado,44
97,Promocional,9,253,Cartão Proprietário,Feminino,Casado,30
98,Promocional,10,"287,59",Cartão Proprietário,Feminino,Casado,52
99,Promocional,2,"47,6",Cartão Proprietário,Feminino,Casado,30
100,Promocional,1,"28,44",Cartão Proprietário,Feminino,Casado,44
